lng,lat,name
7.8150599 , 52.2014493 ,"Burger King"
7.4992698 , 51.4882420 ,"Burger King"
7.9026898 , 51.5609208 ,"Burger King"
9.3887898 , 51.4821706 ,"Burger King"
9.6880998 , 52.6955117 ,"Burger King"
8.3439898 , 51.6559155 ,"Burger King"
8.3650598 , 52.6183311 ,"Burger King"
7.2814498 , 51.6361281 ,"Burger King"
8.8371398 , 51.4528057 ,"Burger King"
7.2955499 , 52.6827243 ,"Burger King"
9.9937398 , 52.4592953 ,"Burger King"
6.1569999 , 51.7883396 ,"Burger King"
10.5080598 , 52.3093889 ,"Burger King"
13.3892498 , 52.4392788 ,"Burger King"
13.4341997 , 52.4430689 ,"Burger King"
10.5418198 , 52.4630490 ,"Burger King"
13.4371597 , 52.4795989 ,"Burger King"
13.4771697 , 52.4870789 ,"Burger King"
13.3869297 , 52.4929389 ,"Burger King"
13.3217598 , 52.5018889 ,"Burger King"
13.2036397 , 52.5375189 ,"Burger King"
12.1336998 , 54.0884889 ,"Burger King"
13.4114698 , 52.5212289 ,"Burger King"
13.4130798 , 52.5231889 ,"Burger King"
13.2593697 , 52.4313289 ,"Burger King"
13.5148597 , 52.4527189 ,"Burger King"
13.7442297 , 52.4992689 ,"Burger King"
13.3120297 , 52.4222689 ,"Burger King"
14.5478597 , 52.3376089 ,"Burger King"
12.4447997 , 51.3509889 ,"Burger King"
10.6349198 , 52.3110489 ,"Burger King"
13.3241197 , 52.6076289 ,"Burger King"
13.3319698 , 52.5061888 ,"Burger King"
13.4958397 , 52.5344689 ,"Burger King"
13.3853497 , 52.4646188 ,"Burger King"
13.3700798 , 52.4092189 ,"Burger King"
13.3591597 , 52.5460689 ,"Burger King"
12.3091697 , 51.4132989 ,"Burger King"
13.6053097 , 52.3153213 ,"Burger King"
12.4651097 , 52.2896690 ,"Burger King"
13.2981097 , 52.5784689 ,"Burger King"
12.2628897 , 51.3459689 ,"Burger King"
14.6333997 , 52.1519889 ,"Burger King"
10.4962398 , 52.2542689 ,"Burger King"
11.6029697 , 52.0826090 ,"Burger King"
13.0944097 , 54.3002389 ,"Burger King"
11.4464098 , 53.8935289 ,"Burger King"
12.1932498 , 54.0811889 ,"Burger King"
14.3175897 , 51.7177389 ,"Burger King"
13.2609497 , 53.5566289 ,"Burger King"
12.0626597 , 54.1323189 ,"Burger King"
13.5944597 , 52.5490389 ,"Burger King"
13.2336598 , 52.5272489 ,"Burger King"
12.3750397 , 51.3411789 ,"Burger King"
13.6076497 , 52.5051889 ,"Burger King"
11.6278597 , 52.1782290 ,"Burger King"
13.4288698 , 54.0815189 ,"Burger King"
13.3369697 , 52.5137089 ,"Burger King"
13.3056798 , 52.5105689 ,"Burger King"
13.0958197 , 52.3841888 ,"Burger King"
11.9909398 , 51.1871989 ,"Burger King"
10.6683598 , 53.8786389 ,"Burger King"
13.2929497 , 53.5563789 ,"Burger King"
11.8667398 , 52.6159888 ,"Burger King"
13.3692397 , 52.5246668 ,"Burger King"
11.7676197 , 51.6907289 ,"Burger King"
11.0540198 , 52.2209889 ,"Burger King"
13.5044597 , 52.5639389 ,"Burger King"
11.4335198 , 53.5986089 ,"Burger King"
13.4576397 , 52.5293089 ,"Burger King"
10.7754598 , 52.4279089 ,"Burger King"
13.3857297 , 52.4802989 ,"Burger King"
13.1918396 , 52.4338589 ,"Burger King"
11.9780597 , 51.2693490 ,"Burger King"
13.3626796 , 52.5003189 ,"Burger King"
12.3808497 , 51.3445289 ,"Burger King"
11.7677398 , 51.6905589 ,"Burger King"
10.5263798 , 52.2654689 ,"Burger King"
12.1832197 , 51.6070390 ,"Burger King"
12.1904797 , 53.8097589 ,"Burger King"
11.4774398 , 51.7656890 ,"Burger King"
13.2103497 , 52.6383589 ,"Burger King"
10.5401098 , 52.2533889 ,"Burger King"
13.3103698 , 52.5473946 ,"Burger King"
13.7354697 , 51.2949388 ,"Burger King"
14.2716697 , 53.0662852 ,"Burger King"
13.2484197 , 52.5389970 ,"Burger King"
13.4207897 , 54.4238464 ,"Burger King"
13.1055798 , 52.7081828 ,"Burger King"
11.5769797 , 51.5105661 ,"Burger King"
